Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_913843595.1	s1r2_clone3_genome	Homo sapiens								5993101663	Scaffold	2022-05-02	CAKNVR01	60923630	153083915								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948976							
GCA_913843955.1	s3r1_clone3_genome	Homo sapiens								25298863442	Scaffold	2022-05-01	CAKNWL01	60650285	174637216								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949021							
GCA_913844125.1	s3r2_clone6_genome	Homo sapiens								13980633658	Scaffold	2022-03-11	CAKNWK01	60623878	181731326								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949033							
GCA_913844095.1	s2r3_clone1_genome	Homo sapiens								5820296092	Scaffold	2022-05-02	CAKNVE01	60444092	163045062								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949010							
GCA_913844105.1	s3r1_clone6_genome	Homo sapiens								12340559803	Scaffold	2022-03-11	CAKNWJ01	60184894	169749280								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949024							
GCA_913844045.1	s3r2_clone4_genome	Homo sapiens								13684353275	Scaffold	2022-03-11	CAKNWD01	60054902	172842753								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949031							
GCA_913844115.1	s3r2_clone5_genome	Homo sapiens								6334632765	Scaffold	2022-05-03	CAKNVI01	60054070	149982240								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949032							
GCA_913843885.1	s3r2_clone7_genome	Homo sapiens								12939028348	Scaffold	2022-03-11	CAKNWA01	59691691	169520096								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949034							
GCA_913843605.1	s1r3_clone1_genome	Homo sapiens								5829459714	Scaffold	2022-05-02	CAKNVW01	59454195	159147382								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948983							
GCA_913843545.1	s1r1_clone7_genome	Homo sapiens								5971789619	Scaffold	2022-05-01	CAKNVT01	59376810	156149929								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948971							
GCA_913843965.1	s2r2_clone4_genome	Homo sapiens								12739643401	Scaffold	2022-03-05	CAKNWE01	59368711	170747915								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949004							
GCA_914822365.1	s2r3_germline_genome	Homo sapiens								5746230472	Scaffold	2021-09-28	CAJZCK01	59356191	145188899								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949009							
GCA_913843525.1	s1r3_clone6_genome	Homo sapiens								5762126611	Scaffold	2022-05-02	CAKNVM01	59351391	159093430								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948988							
GCA_913843635.1	s1r3_clone2_genome	Homo sapiens								5770858404	Scaffold	2022-05-02	CAKNVV01	59351390	159147384								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948984							
GCA_913843675.1	s1r3_clone8_genome	Homo sapiens								11584801378	Scaffold	2022-03-11	CAKNVZ01	59351390	159147384								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948990							
GCA_914823235.1	s1r3_germline_genome	Homo sapiens								5749465997	Scaffold	2021-09-28	CAJZCN01	59351387	145204586								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948982							
GCA_914823105.1	s2r2_germline_genome	Homo sapiens								5745490732	Scaffold	2021-09-28	CAJZCM01	59347058	145168361								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949000							
GCA_914824655.1	s1r2_germline_genome	Homo sapiens								5744112138	Scaffold	2021-09-28	CAJZCO01	59341213	145117147								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948973							
GCA_913843535.1	s1r2_clone1_genome	Homo sapiens								6039790569	Scaffold	2022-05-02	CAKNVG01	59341210	151853293								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948974							
GCA_914824835.1	s1r1_germline_genome	Homo sapiens								5758849420	Scaffold	2021-09-28	CAJZCP01	59336180	145095455								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948964							
GCA_914826315.1	s3r2_germline_genome	Homo sapiens								5770535942	Scaffold	2021-09-28	CAJZCS01	59275114	145072826								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949027							
GCA_914826275.1	s3r1_germline_genome	Homo sapiens								5743266353	Scaffold	2021-09-28	CAJZCR01	59261427	145137731								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949018							
GCA_914825625.1	s2r1_germline_genome	Homo sapiens								5744607915	Scaffold	2021-09-28	CAJZCQ01	59215978	145077469								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948991							
GCA_913843505.1	s1r3_clone3_genome	Homo sapiens								5534528186	Scaffold	2022-05-02	CAKNVJ01	58530032	148769292								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948985							
GCA_913843575.1	s1r1_clone5_genome	Homo sapiens								5934904262	Scaffold	2022-05-02	CAKNVS01	58383873	145088380								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948969							
GCA_913844145.1	s3r1_clone7_genome	Homo sapiens								12382767981	Scaffold	2022-03-11	CAKNWC01	58380376	172363448								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949025							
GCA_913843645.1	s1r1_clone8_genome	Homo sapiens								5824651678	Scaffold	2022-05-02	CAKNVK01	58378529	145088380								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948972							
GCA_913844085.1	s3r1_clone4_genome	Homo sapiens								12019588072	Scaffold	2022-03-11	CAKNWB01	58375135	168120720								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949022							
GCA_913843555.1	s1r2_clone8_genome	Homo sapiens								6303326772	Scaffold	2022-05-03	CAKNVU01	58370250	158670177								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948981							
GCA_913843665.1	s1r2_clone5_genome	Homo sapiens								6210699780	Scaffold	2022-05-02	CAKNVL01	58370250	158292064								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948978							
GCA_913843685.1	s1r2_clone7_genome	Homo sapiens								12493873708	Scaffold	2022-03-11	CAKNWI01	58370250	158469839								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948980							
GCA_913843585.1	s1r3_clone7_genome	Homo sapiens								11465032041	Scaffold	2022-03-05	CAKNVY01	58369029	159147385								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948989							
GCA_914822985.1	s3r3_germline_genome	Homo sapiens								5645265075	Scaffold	2021-09-28	CAJZCL01	58365048	144963235								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949036							
GCA_913843655.1	s1r2_clone2_genome	Homo sapiens								6274603867	Scaffold	2022-05-02	CAKNVF01	58355533	158292062								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948975							
GCA_913844005.1	s2r2_clone7_genome	Homo sapiens								12380276293	Scaffold	2022-03-11	CAKNWH01	58226343	152319792								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8949007							
GCA_913843515.1	s1r2_clone4_genome	Homo sapiens								6225289752	Scaffold	2022-05-02	CAKNVP01	57816307	145244510								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948977							
GCA_913843565.1	s1r2_clone6_genome	Homo sapiens								6181931111	Scaffold	2022-05-02	CAKNVD01	57439005	145244510								UNIVERSITY OF LEEDS	PRJEB28319	SAMEA8948979							
GCA_902652775.1	HG00542_Chr_1	Homo sapiens								227761146	Contig	2019-11-14	CACRVI01	10508117									IBE(CSIC-UNIVERSITAT POMPEU FABRA)	PRJEB34445	SAMEA5977522							
GCA_912157075.1	ESOS43_1R	Homo sapiens					Campylobacter			4128915	Contig	2021-08-12	CAJVUZ01	2538690									UNIVERSITY OF NEW SOUTH WALES	PRJEB46877	SAMEA9531217							
GCA_002009925.1	AK1_Haplotigs_v1	Homo sapiens					AK1	male		2626022101	Contig	2016-10-21	LYWJ01	2408968								PacBio	Macrogen	PRJNA298944	SAMN04169050							
GCA_912157055.1	ESOS18_1R	Homo sapiens					Campylobacter			2078760	Contig	2021-08-12	CAJVVA01	2065644									UNIVERSITY OF NEW SOUTH WALES	PRJEB46877	SAMEA9531216							
GCA_912157065.1	ESOS17_1R	Homo sapiens					Campylobacter			2071191	Contig	2021-08-12	CAJVUX01	2037252									UNIVERSITY OF NEW SOUTH WALES	PRJEB46877	SAMEA9531215							
GCA_912157105.1	ESOS31_2R	Homo sapiens					Campylobacter			2014534	Contig	2021-08-12	CAJVVC01	2014510									UNIVERSITY OF NEW SOUTH WALES	PRJEB46877	SAMEA9531209							
GCA_912157085.1	ESOS33_1R	Homo sapiens					Campylobacter			1926219	Contig	2021-08-12	CAJVVB01	1926195									UNIVERSITY OF NEW SOUTH WALES	PRJEB46877	SAMEA9531211							
GCA_912157025.1	ESOS13_1R	Homo sapiens					Campylobacter			1989214	Contig	2021-08-12	CAJVUV01	1921837									UNIVERSITY OF NEW SOUTH WALES	PRJEB46877	SAMEA9531212							
GCA_912157035.1	ESOS44_1R	Homo sapiens					Campylobacter			2566422	Contig	2021-08-12	CAJVUW01	1913797									UNIVERSITY OF NEW SOUTH WALES	PRJEB46877	SAMEA9531207							
GCA_912157115.1	ESOS15_1R	Homo sapiens					Campylobacter			1886382	Contig	2021-08-12	CAJVVD01	1886262									UNIVERSITY OF NEW SOUTH WALES	PRJEB46877	SAMEA9531214							
GCA_912157015.1	ESO36_2R	Homo sapiens					Campylobacter			1883823	Contig	2021-08-12	CAJVUU01	1883799									UNIVERSITY OF NEW SOUTH WALES	PRJEB46877	SAMEA9531210							
GCA_912157095.1	ESOS14_1R	Homo sapiens					Campylobacter			1869530	Contig	2021-08-12	CAJVUY01	1860593									UNIVERSITY OF NEW SOUTH WALES	PRJEB46877	SAMEA9531213							
GCA_012069685.1	mHomSap3.Unzip_haplotigs	Homo sapiens					mHomSap3	male		2338564213	Contig	2020-04-06	JAAIVS01	672119								PacBio Sequel	PacBio	PRJNA604831	SAMN12568975							
GCA_012069745.1	HG00733.Unzip_haplotigs	Homo sapiens					HG00733	female		2432727060	Contig	2020-04-06	JAAIXO01	566770								PacBio Sequel	PacBio	PRJNA604843	SAMN10182268							
GCA_018398685.1	HG002_HiFi.IPA_Haplotigs	Homo sapiens					NA24385	male		1855746056	Contig	2021-05-19	JADCLY01	351716								PacBio Sequel	PacBio	PRJNA667511	SAMN03283347							
GCA_900009665.2	APD_ii	Homo sapiens								4952522	Scaffold	2019-03-04	CZSY02	251331	4952522								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660225							
GCA_015144065.1	ASM1514406v1	Homo sapiens						male		29126353	Scaffold	2020-10-30	JADCVR01	220280	25146351							Illumina NovaSeq	University of California, San Francisco	PRJNA611132	SAMN00004482							
GCA_015144605.1	ASM1514460v1	Homo sapiens						male		750437272	Scaffold	2020-10-30	JADCVC01	201534	73865116							Illumina NovaSeq	University of California, San Francisco	PRJNA611305	SAMN00001269							
GCA_900010305.2	DUCAF_ii	Homo sapiens								4830834	Scaffold	2019-03-04	CZSO02	159554	4830834								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660249							
GCA_900008125.2	FPAF_ii	Homo sapiens								4893163	Scaffold	2019-03-04	CZSK02	154008	4893163								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660255							
GCA_900008935.2	PF04015_ii	Homo sapiens								4363843	Scaffold	2019-03-04	CZUA02	146199	4363843								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660288							
GCA_900009335.2	CB6B_ii	Homo sapiens								4926096	Scaffold	2019-03-04	CZTK02	142029	4926096								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660242							
GCA_900008195.2	BM16_ii	Homo sapiens								3833506	Scaffold	2019-03-04	CZRZ02	141222	3833506								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660235							
GCA_900011055.2	EJ32B_ii	Homo sapiens								4916610	Scaffold	2019-03-04	CZSU02	139408	4916610								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660252							
GCA_900010215.2	QBL_ii	Homo sapiens								4907551	Scaffold	2019-03-04	CZUB02	134771	4907551								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660293							
GCA_900008135.2	JBUSH_ii	Homo sapiens								4860209	Scaffold	2019-03-04	CZSB02	133670	4860209								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660260							
GCA_900661295.1	SRS1735585_4	Homo sapiens								2625583	Contig	2019-03-27	CAACVV01	132534									czbiohub	PRJEB30982	SAMEA1906452							
GCA_900010775.2	31227ABO_ii	Homo sapiens								4857446	Scaffold	2019-03-04	CZSA02	127275	4857446								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660221							
GCA_900010005.2	LZL_ii	Homo sapiens								4868406	Scaffold	2019-03-04	CZTS02	117253	4868406								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660279							
GCA_900016255.2	KOSE_ii	Homo sapiens								3348238	Scaffold	2019-03-04	CZTG02	114345	3348238								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660270							
GCA_900010785.2	STEINLIN_ii	Homo sapiens								4212571	Scaffold	2019-03-04	CZUQ02	101651	4212571								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660301							
GCA_900009035.2	VAVY_ii	Homo sapiens								4816683	Scaffold	2019-03-04	CZUV02	100749	4816683								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660308							
GCA_900008245.2	L081785_ii	Homo sapiens								1495552	Scaffold	2019-03-04	CZTM02	95306	1495552								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660273							
GCA_900009695.2	WDV_ii	Homo sapiens								4400921	Scaffold	2019-03-04	CZUX02	94763	4400921								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660310							
GCA_900008875.2	L0541265_ii	Homo sapiens								4376025	Scaffold	2019-03-04	CZSI02	94719	4376025								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660272							
GCA_900009055.2	WT49_ii	Homo sapiens								4830890	Scaffold	2019-03-04	CZVE02	87305	4830890								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660316							
GCA_003711475.1	HG00268_EEE_SV-Pop.1	Homo sapiens					HG00268	female		1413479250	Contig	2018-11-02	QVRL01	86969								PacBio	University of Washington	PRJNA481779	SAMN09643900							
GCA_900009655.2	KGU_ii	Homo sapiens								4849308	Scaffold	2019-03-04	CZTJ02	85278	4849308								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660269							
GCA_900008995.2	SLE005_ii	Homo sapiens								4208652	Scaffold	2019-03-04	CZUL02	84035	4208652								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660297							
GCA_003711455.1	HG02106_EEE_SV-Pop.1	Homo sapiens					HG02106	female		1387175181	Contig	2018-11-02	QVRK01	83112								PacBio	University of Washington	PRJNA481779	SAMN09651199							
GCA_003709635.1	CHM1_EEE_SV-Pop.1	Homo sapiens					CHM1			881496122	Contig	2018-11-02	QPKN01	81065								PacBio	University of Washington	PRJNA481779	SAMN02744161							
GCA_003709745.1	HG01352_EEE_SV-Pop.1	Homo sapiens					HG01352	female		957418358	Contig	2018-11-02	QVRG01	78378								PacBio	University of Washington	PRJNA481779	SAMN05603729							
GCA_003709805.1	HG04217_EEE_SV-Pop.1	Homo sapiens					HG04217	female		787509787	Contig	2018-11-02	QVRJ01	73605								PacBio	University of Washington	PRJNA481779	SAMN09690649							
GCA_003709695.1	HG02818_EEE_SV-Pop.1	Homo sapiens					HG02818	female		1064008284	Contig	2018-11-02	QVRE01	73146								PacBio	University of Washington	PRJNA481779	SAMN05603745							
GCA_003709765.1	HG02059_EEE_SV-Pop.1	Homo sapiens					HG02059	female		981781640	Contig	2018-11-02	QVRH01	72602								PacBio	University of Washington	PRJNA481779	SAMN05603847							
GCA_003709785.1	NA12878_EEE_SV-Pop.1	Homo sapiens					NA12878	female		806268485	Contig	2018-11-02	QVRI01	71949								PacBio	University of Washington	PRJNA481779	SAMN05181962							
GCA_003709735.1	NA19434_EEE_SV-Pop.1	Homo sapiens					NA19434	female		1032952324	Contig	2018-11-02	QVRF01	71538								PacBio	University of Washington	PRJNA481779	SAMN06885952							
GCA_900009795.2	WT47D_ii	Homo sapiens								4863450	Scaffold	2019-03-04	CZVD02	69660	4863450								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660315							
GCA_900009065.2	RSH_ii	Homo sapiens								1913010	Scaffold	2019-03-04	CZUN02	65967	1913010								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660295							
GCA_900008275.2	EK_ii	Homo sapiens								4823612	Scaffold	2019-03-04	CZTD02	63220	4823612								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660253							
GCA_003709615.1	CHM13_EEE_SV-Pop.1	Homo sapiens					CHM13	female		836510976	Contig	2018-11-02	QPKM01	61120								PacBio	University of Washington	PRJNA481779	SAMN03255769							
GCA_900008695.2	BM21_ii	Homo sapiens								4820948	Scaffold	2019-03-04	CZRQ02	59858	4820948								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660236							
GCA_963426525.1	human feces metagenome	Homo sapiens								78719706	Contig	2023-09-13	CAUKAQ01	58898								Illumina	University of Oslo	PRJEB65255	SAMEA114333763							
GCA_003709625.1	HG00514_EEE_SV-Pop.1	Homo sapiens					HG00514	female		957673257	Contig	2018-11-02	QVRB01	58728								PacBio	University of Washington	PRJNA481779	SAMN04229552							
GCA_003709685.1	NA19240_EEE_SV-Pop.1	Homo sapiens					NA19240	female		947146763	Contig	2018-11-02	QVRD01	51016								PacBio	University of Washington	PRJNA481779	SAMN03838746							
GCA_003709675.1	HG00733_EEE_SV-Pop.1	Homo sapiens					HG00733	female		819663027	Contig	2018-11-02	QVRC01	49656								PacBio	University of Washington	PRJNA481779	SAMN04229548							
GCA_003864135.1	HX1_EEE_SV-Pop.1	Homo sapiens					HX1	male		665090451	Contig	2018-12-05	RRTY01	49594								PacBio	University of Washington	PRJNA481779	SAMN04251426							
GCA_001483655.1	NA12878_merac_PE_MP_Fos	Homo sapiens						female		2814365809	Scaffold	2015-12-30	LPXP01	47466	9077666							Illumina (Paired End, Mate Pair, Fosmid)	Dovetail Genomics	PRJNA306147	SAMN04316313							
GCA_900009345.2	AMALA_ii	Homo sapiens								4813523	Scaffold	2019-03-04	CZSS02	45618	4813523								STANFORD UNIVERSITY	PRJEB6763	SAMEA2660224							
GCA_000185165.1	HsapALLPATHS1	Homo sapiens						female		2786258565	Scaffold	2011-01-06	AEKP01	23924	12084118							Illumina GAII; Illumina HiSeq	Broad Institute	PRJNA59877	SAMN02981291							
GCA_000005465.1	BGIAF	Homo sapiens						male		2676008911	Scaffold	2010-06-21	DAAB01	887	62478							Illumina GA	Beijing Genomics Institute	PRJNA42201								
GCA_949316305.1	mMusMuc1.1 alternate haplotype	Mus musculus								114758919	Contig	2023-04-08	CASGFD01	256003								PacBio,OmniC	WELLCOME SANGER INSTITUTE	PRJEB60145	SAMEA112251260							
GCA_000181195.1	ASM18119v1	Mus musculus								2477636994	Contig	2002-05-15	CAAA01	24821									Mouse Genome Sequencing Consortium	PRJNA13183	SAMEA3138312							
GCA_000185105.2	MmusALLPATHS2	Mus musculus		C57BL/6J				female		2505015129	Scaffold	2012-08-29	AEKQ02	19501	18924318							Illumina GAII; Illumina HiSeq	Broad Institute	PRJNA59879	SAMN02981292							
GCA_000185125.1	MmusSOAP1	Mus musculus		C57BL/6J				female		2561486811	Scaffold	2011-01-06	AEKR01	15782	357132							Illumina GAII; Illumina HiSeq	Broad Institute	PRJNA59879	SAMN02981292							
GCA_000350445.1	mm129svJae1.0	Mus musculus		129Sv/Jae			1	female		2578286128	Scaffold	2013-04-05	AHBB01	15255	6876427							Illumina HiSeq	Broad Institute	PRJNA60381	SAMN00190744							
GCA_024102715.1	ASM2410271v1	Nitrosomonas communis					mag.23		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3045603	Contig	2022-06-30	JAGFJM01	42323								Illumina HiSeq	South China University of Technology	PRJNA705238	SAMN18079733	2878	2763	73		Nitrosomonas	92.33	3.37
GCF_024102715.1	ASM2410271v1	Nitrosomonas communis					mag.23		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3045603	Contig	2022-06-30	JAGFJM01	42323								Illumina HiSeq	South China University of Technology	PRJNA705238	SAMN18079733	2888	2761	85		Nitrosomonas	92.33	3.37
GCA_003857045.1	ASM385704v1	Micromonospora chalcea		LB4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5561303	Contig	2018-12-03	QGSX01	4656								Illumina MiSeq	Newcastle University	PRJNA472942	SAMN09254012	6439	5937	438				
GCA_012103455.1	ASM1210345v1	Gammaproteobacteria bacterium					MH-Pat-all_autometa_1-5		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7021268	Contig	2020-04-06	WLWT01	4699109								Illumina HiSeq 2500; PacBio Sequel	VICTORIA UNIVERSITY WELLINGTON	PRJNA515312	SAMN12903690	7018	6610	346				
GCA_034522055.1	ASM3452205v1	Gammaproteobacteria bacterium					Salar_de_Ascotan_soil_MAG_ASO3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5139057	Contig	2023-12-21	JAXHLS01	3719357								Illumina NovaSeq; Oxford Nanopore MinION	Grupo de Microbiologia Integrativa, Facultad de Ciencias, Universidad de Chile	PRJNA1023877	SAMN38083146	4956	4712	190				
GCA_016717785.1	ASM1671778v1	Gammaproteobacteria bacterium					Rand_18-Q3-R56-63_BATAC.255		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4817439	Contig	2021-01-19	JADKEY01	3179352								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16426403	4458	4261	139				
GCA_038144395.1	SD4486_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4486_NP_maxbin_bins.tsv.088			3045697	Contig	2024-04-15	JAYQNR01	3034502								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862237							
GCA_024235095.1	ASM2423509v1	Gammaproteobacteria bacterium					HK-STAS-PROT-134		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4669206	Contig	2022-07-12	JACKNC01	2979502								Illumina HiSeq; Oxford Nanopore PromethION	The University of Hong Kong	PRJNA648801	SAMN15688019	4149	3889	201				
GCA_038144755.1	SD4486_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4486_NP_concoct_bins.tsv.022_sub			4269595	Contig	2024-04-15	JAYQOI01	2821039								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862220							
GCA_033344735.1	ASM3334473v1	Gammaproteobacteria bacterium					Padam54		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2402513	Contig	2023-11-05	JAWPMW01	2402513								Oxford Nanopore; Illumina NovaSeq	Cornell University	PRJNA996615	SAMN36651877	2474	2421	10				
GCA_016705365.1	ASM1670536v1	Gammaproteobacteria bacterium					AalE_18-Q3-R2-46_BAT3C.320		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4595504	Contig	2021-01-19	JADIYI01	2300666								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16425500	4261	4093	116				
GCA_038131595.1	SD3109_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD3109_NP_metabat_bins_2.tsv.043			2854542	Contig	2024-04-15	JAYPPR01	2030947								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862068							
GCA_038131835.1	SD3109_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD3109_NP_maxbin_bins.tsv.070			3122442	Contig	2024-04-15	JAYPQF01	1830644								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862054							
GCA_004297165.1	ASM429716v1	Gammaproteobacteria bacterium					FW602_bin.35		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3526527	Contig	2019-02-25	SCUJ01	1783802								Illumina HiSeq	University of Oklahoma	PRJNA514088	SAMN10720215	3208	3125	29				
GCA_016718945.1	ASM1671894v1	Gammaproteobacteria bacterium					Mari_18-Q3-R65-66_MAXAC.093		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3428406	Contig	2021-01-19	JADKBG01	1749876								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16426305	3289	3059	177				
GCA_038144195.1	SD4486_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4486_NP_metabat_bins_2.tsv.030			1865043	Contig	2024-04-15	JAYQNH01	1700789								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862247							
GCA_016860825.1	ASM1686082v1	Gammaproteobacteria bacterium					BroJett010		Annotation submitted by Environmental Preservation Engineering, Civil and Environmental Engineering, Hiroshima University	2943900	Contig	2021-01-12	BOKE01	1654183								Illumina Hiseq; PacBio Sequel	Environmental Preservation Engineering, Civil and Environmental Engineering, Hiroshima University	PRJDB10895	SAMD00270013	2779	2726					
GCA_016716465.1	ASM1671646v1	Gammaproteobacteria bacterium					Kalu_18-Q3-R12-55_BAT3C.208		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3021994	Contig	2021-01-19	JADJWH01	1521596								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16426162	2852	2759	42				
GCA_016706085.1	ASM1670608v1	Gammaproteobacteria bacterium					EsbE_18-Q3-R3-47_BATAC.204		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4570796	Contig	2021-01-19	JADJKI01	1468083								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16425826	4247	4055	141				
GCA_038143395.1	SD4486_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4486_NP_metabta_bins_sens.tsv.023			1410809	Contig	2024-04-15	JAYQLW01	1399906								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862284							
GCA_030427085.1	ASM3042708v1	Gammaproteobacteria bacterium					2_bin.53			4189367	Contig	2023-07-11	JAUHXH01	1217562								Illumina HiSeq	Inha University	PRJNA967453	SAMN36083596							
GCA_016712905.1	ASM1671290v1	Gammaproteobacteria bacterium					Fred_18-Q3-R57-64_MAXAC.073		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3391806	Contig	2021-01-19	JADJQE01	1216782								Oxford Nanopore PromethION	Aalborg University	PRJNA629478	SAMN16425992	3305	2998	257				
GCA_038143675.1	SD4486_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4486_NP_metabat_bins_2.tsv.542			1206103	Contig	2024-04-15	JAYQMH01	1206103								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862273							
GCA_028144835.1	ASM2814483v1	Gammaproteobacteria bacterium					AH-224-K06		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1561919	Contig	2023-01-27	JAOGDC01	1178722								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29364195	1598	1553	5				
GCA_038141925.1	SD4487_NP.scaffolds.fasta	Gammaproteobacteria bacterium					SD4487_NP_metabat_bins_2.tsv.496			1225982	Contig	2024-04-15	JAYQJB01	1143654								Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862357							
